"","tweet","existence","existence.confidence","binary"
"1180","alms let me politely suggest that i do not","N",1,1
"1181","someone go tell the climate change crowd to go hang after they read this","N",0.6646,1
"1182","like most liberals you have been duped by the global warming socialist propaganda","N",1,1
"1183","i believe that global warming is an international conspiracy perpetrated by in order to sell more air conditioners","N",1,1
"1184","un process in danger unless world agrees on climate change global a","N",0.6663,1
"1185","graham on climate change it s","Y",0.6735,0
"1186","what do you know about climate change your knowledge with the following","Y",0.683,0
"1187","global warming you tube explanation you will enjoy","Y",0.4775,0
"1188","australia s changing climate change climate","Y",0.672,0
"1189","i a u n s ban ki moon un a","Y",0.6729,0
"1190","climate change you tube animation you will like","Y",0.6193,0
"1191","politico story on the state of play in re climate change and immigration bottom line immigrants r being","Y",0.6984,0
"1192","choice that t change the world and the one that might youth climate","Y",0.6916,0
"1193","memo house correspondents dinner if you green on climate change i d never be on","Y",0.4735,0
"1194","global warming dirt carbon peril models are wrong say boffins greenhouse experiments show reduced greenhouse","N",0.3583,1
"1195","communities and climate change environment and development new york jobs","Y",0.6482,0
"1196","choice that t change the world and the one that might youth climate","Y",0.6579,0
"1197","connecticut buys into global warming but some senate candidates do not one might assume that regardless of","N",0.3545,1
"1198","focus to california climate change law by peter henderson","Y",0.5907,0
"1199","to california climate change law source by peter henderson san f april","Y",0.4805,0
"1200","graham s exit puts climate change bill in limbo a climate change bill that was scheduled to be unveiled at a","Y",0.646,0
"1201","reflections of a rebel and social jus more familiar image of green capitalism","Y",0.662,0
"1202","graham s exit from talks puts climate change bill in limbo","Y",0.6445,0
"1203","party with a difference climate change really hits will come with instructions in chinese go green","N",0.6678,1
"1204","passing any legislation at all will kill the climate change bill","Y",0.6792,0
"1205","cafe presents global warming talk film april cafe presentation will be on the","Y",0.5127,0
"1206","cafe presents global warming talk film april cafe presentation will be on the","Y",0.66,0
"1207","alexia parks global warming of the heart earth day is over or is it of conscious actions took place","Y",0.6812,0
"1208","alexia parks global warming of the heart earth day is over or is it of conscious actions took place","Y",1,0
"1209","alexia parks global warming of the heart earth day is over or is it perhaps millions of","Y",1,0
"1210","alexia parks global warming of the heart earth day is over or is it perhaps millions of","N",0.4997,1
"1211","warming department li arkansas lawmaker who authored legislation that created","Y",0.6436,0
"1212","and sebastian at premiere of climate of change right now","Y",1,0
"1213","climate science s chinese whispers books that separate global warming fact from fiction culture shock of","N",0.4858,1
"1214","don calls efforts on mine safety as silly as global warming","N",1,1
"1215","sarah on climate change","Y",1,0
"1216","don calls efforts on mine safety as silly as global warming at his labor day anti union","N",1,1
"1217","global warming la","Y",0.6778,0
"1218","year in which sceptics stole running on climate change australian business could show our politicians the","N",0.4825,1
"1219","video larry brilliant on the volcano and climate change","Y",0.6258,0
"1220","earth day at politics finally erupt causes global warming earth day at the politics finally erupt","Y",0.6365,0
"1221","us climate change negotiating plans revealed if doc left behind on a copy machine can be believed","N",0.4562,1
"1222","overheard from carol browner assistant to the president for energy and climate change she mentioned that","Y",0.6807,0
"1223","american media t putting out much on climate change s why you should watch take","N",0.4802,1
"1224","american media t putting out much on climate change s why you should watch take","Y",0.6987,0
"1225","john climate change and coal goes shopping gun advocates rallied this week in support of their rig","Y",0.6562,0
"1226","climate change reporting project involves slate wired mother can they satisfy all those editors","Y",0.7114,0
"1227","climate change and our identity","Y",0.6295,0
"1228","climate change and our identity","Y",0.682,0
"1229","cold we could put our bodies together n start global warming","Y",0.6472,0
"1230","as i said only days ago we will start seeing much more tempered reporting on global warming starting w","N",1,1
"1231","watchdog backs climate change advert a clever television advert claiming car pollution is the worst","Y",0.6876,0
"1232","can a book on change the climate conversation","Y",0.7086,0
"1233","can a book on change the climate conversation","Y",0.6878,0
"1234","no matter if you believe in global warming or not we can all do our part to live better and save money resources","Y",0.6515,0
"1235","best propaganda poster ever modern version substitute climate change deniers","N",0.6487,1
"1236","sec issues guidance on climate change disclosures","Y",0.7035,0
"1237","issue of change now available","Y",1,0
"1238","senators prepare compromise climate change bill yahoo news via","Y",1,0
"1239","climate change negotiators agree on intensified via","Y",0.465,0
"1240","global warming clearly","Y",0.4683,0
"1241","s science friday and global warming","Y",1,0
"1242","to address global warming skeptics at climate","N",0.4881,1
"1243","g climate change fellow sierra nevada alliance","Y",1,0
"1244","economy has helped people focus on family and climate change clinical trials collagen","Y",0.6488,0
"1245","it has made frank talking points on climate change impotent as now the focus is on immigration reform great job","Y",0.6925,0
"1246","veteran climate activist asks for name change for earth","Y",0.6878,0
"1247","climate scientist sues newspaper for global warming debate","Y",0.655,0
"1248","climate scientist sues newspaper for poisoning global warming debate","Y",1,0
"1249","earth day live chat with carol browner director of the office of energy and climate change policy for the","Y",0.5307,0
"1250","can you hedge against climate change this","Y",1,0
"1251","kerry releases climate change law this week how does it affect the sector find out by in green energy","Y",0.6568,0
"1252","here s a link to the volcano global warming story","Y",1,0
"1253","yes i have heard at least one person make the connection between the volcano and global warming","Y",0.4526,0
"1254","i think it will be man that controls global warming is racist","N",0.5038,1
"1255","what i global warming famine nuclear annihilation no threat to humanity is more dangerous than the double down","N",0.6858,1
"1256","changing facts guess they thought you notice global warming climate change","Y",0.4594,0
"1257","a religious take on climate change","Y",0.6312,0
"1258","a religious spin on climate change","Y",0.4683,0
"1259","a religious spin on climate change news religious spin climate change","Y",1,0
"1260","panel debates business cost of calif global warming law san diego panelists debated the economic merits of","Y",0.6102,0
"1261","really global warming","N",1,1
"1262","expert group on climate change","Y",0.672,0
"1263","saving the sign ballot s volcano and global warming","Y",0.6253,0
"1264","saving the sign ballot s volcano and global warming","Y",0.703,0
"1265","letter global warming in god s hands news sentinel","Y",0.6468,0
"1266","news break story set to move on climate change bill ahead of immigration","Y",0.6544,0
"1267","global warming retreat except for california s government state air board in its wisdom continues to","Y",0.7165,0
"1268","only of americans are very worried about global warming e p a makes its case on climate change","N",0.6808,1
"1269","environmental groups praise basic meeting on climate change environmental groups are giving qualified praise to a","Y",1,0
"1270","environmental groups praise basic meeting on climate change environmental groups are giving qualified praise to a","Y",0.6787,0
"1271","kerry action on climate bill remains likely democratic sponsor of climate change","Y",0.6473,0
"1272","global is james cameron a maniac by john either james cameron is a maniac or","Y",0.6259,0
"1273","brooke shields annoyed with global warming t exist reports","Y",0.6908,0
"1274","climbing out social warming climate change hanging on by it s","N",0.6649,1
"1275","i d like to know who gives a rat s ass if immigration comes before climate change do your jobs regardless of o","Y",0.6275,0
"1276","environmental economics note to environmentalists part climate change bill that was supposed to be unveil","Y",0.6551,0
"1277","only americans believe global warming is human caused by bob ellis on april good news what","N",0.4558,1
"1278","climate bill placed on hold over senate dispute long awaited climate change legislation was","Y",0.6554,0
"1279","climate bill placed on hold over senate dispute long awaited climate change legislation was","Y",0.6563,0
"1280","americans give a about global warming survey says investors from cities other than in the us","N",0.3782,1
"1281","brochure on global warming brochure on global warming added by comments","Y",0.652,0
"1282","global warming of the heart earth day is over or is it perhaps millions of conscious actions t","Y",0.762,0
"1283","in climate data that suggests global warming and then the assumption that it is our doing","N",0.4952,1
"1284","natives gather in bolivia to criticize club","Y",0.6638,0
"1285","global warming panic attack with the senate about to begin a long awaited debate over energy","N",0.4718,1
"1286","live climate conference exciting climate debate coming up at causes climate change","Y",0.6422,0
"1287","looks like some just gave some more fuel to slow down the california global warming law","Y",0.6733,0
"1288","in november of i really t have predicted that immigration reform might move before climate change legislation via","Y",0.6546,0
"1289","i m doing my part in contributing to both global warming and depletion of the ozone layer i m hot and sometimes i fart","N",0.6481,1
"1290","post methodist clergy listens to members on climate change","Y",0.6818,0
"1291","b cast interview for global warming fight","Y",1,0
"1292","wed climate change confab opens w film at studios into the arctic living sea free","Y",1,0
"1293","foes of california s global warming law pour money into a campaign to delay it","Y",0.6641,0
"1294","foes of california s global warming law pour money into a campaign to delay it","N",0.398,1
"1295","ok that last part was a joke but here is the latest ranking for the un climate change panel","Y",0.649,0
"1296","foes of california s global warming law pour money into a campaign to delay it","Y",0.5324,0
"1297","foes of california s global warming law pour money into a campaign to delay it","Y",0.4819,0
"1298","effects of global warming we are god s caretakers by cory l kemp an inconvenient the documentary and bo","Y",0.6582,0
"1299","water meat and global warming peanuts grapes","Y",1,0
"1300","water meat and global warming peanuts grapes","Y",1,0
"1301","great article doc hari google methane deposits global warming","Y",0.5349,0
"1302","global warming science global warming summary summary simplified nutshell","Y",0.6563,0
"1303","ben in the news global warming stock market and earth day by ben one swallow does not a summer ma a","Y",0.635,0
"1304","water meat and global warming peanuts grapes good food","Y",1,0
"1305","climate change","Y",0.67,0
"1306","county disputes global warming by laura staff county commission had an involved","N",0.6603,1
"1307","files motion to force to reopen global warming finding virginia attorney general ken ha","Y",0.5495,0
"1308","new mexico s democrats liberals push global warming here despite the us government temperature data","N",0.6969,1
"1309","global warming measurements don t account for missing heat","N",0.6519,1
"1310","who cares about global warming by jackie in i joined my parents and older sister in the s","N",0.6078,1
"1311","hilarious baked sarah s warming","Y",0.6559,0
"1312","global warming melting glaciers and prohibition","Y",0.6557,0
"1313","don mine safety as silly as global warming","N",1,1
"1314","don called safety as silly as global warming","N",1,1
"1315","coal calls mine safety as silly as global warming","N",1,1
"1316","street corner global warming counsel certain elements of this item in sunday s washington post five myths","Y",0.4812,0
"1317","april showers on us right now feels like winter global warming","N",0.6481,1
"1318","a religious take on climate change","Y",0.5869,0
"1319","global warming conference set sunday known as the father of environmental justice is a","Y",0.6522,0
"1320","global warming conference set sunday known as the father of environmental justice is a","Y",0.673,0
"1321","t your position assume man made carbon of atmosphere causes climate change this is hypothesis","N",0.6685,1
"1322","where s climate change and clean energy legislation in the us","Y",1,0
"1323","where s climate change and clean energy legislation in the us","Y",0.6417,0
"1324","news dissecting those numbers part one population where is global warming caused by too","Y",1,0
"1325","for cool it means sensitivity to climate change and cisco is now tops i know so","Y",0.6801,0
"1326","for cool it means sensitivity to climate change and cisco is now tops","Y",0.6677,0
"1327","still believe in human caused global warming more information exposing the truth","N",0.3451,1
"1328","businesses create new ad for climate change action via","Y",0.6682,0
"1329","points out climate change indicators public support for climate change legislation appears to be flagging p","Y",0.6951,0
"1330","where s climate change and clean energy legislation in the us","Y",0.6651,0
"1331","where s climate change and clean energy legislation in the","Y",0.6536,0
"1332","pew center on global climate for federal leadership on climate adaptation","Y",0.634,0
"1333","pew center on global climate for federal leadership on climate adaptation green energy","Y",1,0
"1334","letter global warming dilemma fifty years ago i was teaching and preaching about global warming and its","Y",0.6495,0
"1335","letter global warming dilemma fifty years ago i was teaching and preaching about global warming and its","Y",1,0
"1336","global warming a market proposal even would love may debate the merits of global","N",0.5254,1
"1337","global warming a market proposal even would love may debate the merits of global","Y",0.615,0
"1338","tolerant left deny climate change and you d be guilty of a crime against peace","N",1,1
"1339","plan b california braces for climate change california leads its fellow states in mitigating climate change in","Y",1,0
"1340","at the pen talk on climate at met offers a useful note of realism climate change is in our heads and we need to change our heads","N",1,1
"1341","don t forget jon world s most powerful global warming denier maybe character limit kept him off your list","N",0.6853,1
"1342","plan b california braces for climate change california leads its fellow states in mitigating climate change in","Y",0.6758,0
"1343","plan b california braces for climate change california leads its fellow states in mitigating climate change in","Y",1,0
"1344","can global warming give you kidney stones how will insurance companies deal with it s true","Y",0.6628,0
"1345","nor a joke us s new climate change claim global warming causes well","N",0.6661,1
"1346","global warming sea level rise carbon footprint al gore buys million estate by ocean","N",0.6443,1
"1347","tolerant left deny climate change and you d be guilty of a crime against peace","Y",0.6248,0
"1348","global warming sea level rise carbon footprint al gore buys million estate by ocean","N",0.497,1
"1349","climate change cover up down under","Y",0.4946,0
"1350","yeah about that global warming footprint al you hypocritical jackass","N",1,1
"1351","spoke about at last weeks discussion illuminating the science art and climate change","Y",0.6582,0
"1352","global warming you tube parody you will like","N",0.6946,1
"1353","s also up for a webby award in science climate change site is your last chance to vote via","Y",0.6267,0
"1354","and why the fuck is it so cold fuck you global warming","N",0.6671,1
"1355","e p a makes its case on climate change green green climate change environment","Y",1,0
"1356","","Y",1,0
"1357","irish led manufacturer raises in funding round led by climate change capital","Y",0.6659,0
"1358","now they say we may go crazy global warming may cause mental illness a new","N",0.6713,1
"1359","news earth day climate change and mainstream green groups cave in on climate earth","Y",0.6541,0
"1360","more global warming profiteering by energy official","N",1,1
"1361","good journalism looking at climate change science climate environment media","Y",0.6254,0
"1362","e p a makes its case on climate change","Y",0.6697,0
"1363","e p a makes its case on climate change","Y",0.6686,0
"1364","global warming you tube explanation you will like","Y",0.3501,0
"1365","fire fire the nations on fire your loaded on a freight train but the climate change bill loads you the people like sheep to the slaughter","N",0.4412,1
"1366","open veins of climate change green","Y",1,0
"1367","change is like","N",0.6864,1
"1368","irish led manufacturer raises in funding round led by climate change capital","Y",1,0
"1369","irish led manufacturer raises in funding round led by climate change capital","Y",0.6476,0
"1370","the right wing furor over leaked climate change where is their rage over the","N",0.6493,1
"1371","hmmm human activities global warming see a connection","Y",0.6314,0
"1372","con man made clouds change","Y",0.6946,0
"1373","e p a makes its case on climate change","Y",0.5148,0
"1374","why the heck did it get cold all of a sudden is al gore in town for a global warming speech or something","N",0.643,1
"1375","e p a makes its case on climate change","Y",1,0
"1376","e p a makes its case on climate change","Y",1,0
"1377","talking about iguanas i love this of frozen iguanas falling out of trees global warming","N",0.6048,1
"1378","e p a makes its case on climate change e p a releases a glossy report to help americans make sense of","Y",1,0
"1379","e p a makes its case on climate change e p a releases a glossy report to help americans make sense of","Y",1,0
"1380","climate change issue","Y",0.6677,0
"1381","climate change issue","Y",0.6261,0
"1382","of tackling climate change should be a high or very high priority","Y",1,0
"1383","of tackling climate change should be a high or very high priority","Y",1,0
"1384","why projections on global warming are false while projections and predictions on concentrations in the at","N",0.5644,1
"1385","u s climate change indicators","Y",1,0
"1386","u s climate change","Y",0.672,0
"1387","forests not for absorbing carbon say activists redd indigenous","Y",0.6665,0
"1388","grapes the best early warning system for the effects of climate change","Y",1,0
"1389","climate change issue","Y",0.7368,0
"1390","climate change issue","Y",0.6364,0
"1391","insane almost may and vermont has snow seriously who said global warming exist","Y",0.6498,0
"1392","global warming profiteering in the administration v","N",0.6485,1
"1393","factor producer jesse caught up with former al gore and talked about global warming we show you the","N",0.3755,1
"1394","s a good article though i think the statistics on global warming are actually its weakest link as far as i can see","N",0.4793,1
"1395","science whales fight global warming","Y",1,0
"1396","brooke s green worries pop shields says she is disturbed by reports that global warming t exist w","Y",1,0
"1397","global warming guyana s flood control problems","Y",0.6265,0
"1398","how cap climate change legislation has suffered a major setback in the senate with its key","Y",0.6745,0
"1399","new york presents program on navigating climate change disclosure","Y",0.7194,0
"1400","is global warming causing more volcanoes video science","Y",0.6537,0
"1401","disastrous computer models predictions from limits to growth to global warming","Y",1,0
"1402","linking the miss tornadoes and climate change have we already forgotten not a winning argument","N",0.4905,1
"1403","arctic adventurers get set to study climate change","Y",0.6486,0
"1404","new post cloudy with a chance of climate change","N",0.4768,1
"1405","global warming cover up walter e","N",0.678,1
"1406","washing one of president s top priorities tackling global warming suffered a","Y",0.6875,0
"1407","scary could global warming be causing tropical illnesses and bacteria to appear in otherwise tropical areas of the world","Y",1,0
"1408","s climate change agenda in turmoil washing raw us","Y",0.5067,0
"1409","when i read i m all for combating global warming but hard to keep reading wait till next and pass carbon tax","Y",1,0
"1410","i m considering telling my professor that finishing this final paper would poison the well on the climate change bill","N",0.5101,1
"1411","climate change scientists turn to for research","Y",1,0
"1412","millions out to protest global warming","N",0.6642,1
"1413","much needed rain is falling gardens fields verdant blooming but everything s ahead of schedule global warming","N",1,1
"1414","prepare sink change by","Y",1,0
"1415","prepare sink change by","Y",1,0
"1416","celebrate earth day by watching climate change in today sunday april","Y",1,0
"1417","could cleaner air actually intensify global warming","Y",1,0
"1418","years of advocacy not journalism on global warming","Y",0.6792,0
"1419","so what do my twerps think about lindsey graham pulling his support for climate change legislation","N",0.697,1
"1420","are global warming volcanoes and earthquakes linked a thaw of ice caps caused by global warming may","Y",1,0
"1421","are global warming volcanoes and earthquakes linked a thaw of ice caps caused by global warming may","Y",1,0
"1422","are global warming volcanoes and earthquakes linked a thaw of ice caps in coming decades caused by g","Y",1,0
"1423","are global warming volcanoes and earthquakes linked a thaw of ice caps in coming decades caused by g","Y",1,0
"1424","effort to delay global warming measure group is the first major union to","Y",0.5534,0
"1425","effort to delay global warming measure group is the first major union to","Y",0.6507,0
"1426","i thought liberals were separation of church wants churches advance climate change","N",0.6667,1
"1427","why are major media downplaying international summit on climate change via","Y",0.6583,0
"1428","a victim and the state of the global warming problem a walk though the many angles at","N",0.3687,1
"1429","making waves agreement of the people at the world people s conference on climate change and the","Y",1,0
"1430","never has a public policy agenda been pursued with so little regard for scientific fact or for public opinion global warming","N",0.6338,1
"1431","warming wins global warming war kiddo florida was nice but you t miss too much s waiting r","Y",0.6399,0
"1432","news about the very bad news about climate change","Y",0.681,0
"1433","year old speaks about global warming at day may have come and gone but the fight to","Y",0.6863,0
"1434","year old speaks about global warming at day may have come and gone but the fight to","Y",1,0
"1435","silly elite statists don t cause global warming it s the great unwashed","Y",0.5892,0
"1436","losses of global warming not going gently","Y",1,0
"1437","attractive nuisance should judges change","Y",0.6886,0
"1438","gazelle change with comedy premise of million an off off b","Y",1,0
"1439","progress in environmental protection and climate change in energy","Y",1,0
"1440","news carbon neutral while fox news promotes climate change as a hoax","Y",0.6706,0
"1441","mark levin recommends the great global warming blunder","Y",0.6559,0
"1442","shaving my beard darn you global warming","Y",0.3463,0
"1443","is a on climate change united significant global warming meeting since last","Y",0.6208,0
"1444","jake whitney on the hoax of the climate change hoax climate change skeptics have been singing a victory song","N",0.5092,1
"1445","jake whitney on the hoax of the climate change hoax climate change skeptics have been singing a victory song","N",1,1
"1446","whale saves world from global warming save the whale and it save you too say australian scientists by","Y",0.6512,0
"1447","whale saves world from global warming save the whale and it save you too say australian scientists by","Y",1,0
"1448","new post about competing or complementary corporate financial disclosure rules for climate change liability b","Y",1,0
"1449","never has a public policy agenda been pursued with so little regard for scientific fact or for public opinion global warming","N",1,1
"1450","bolivia climate conference demands to combat global warming creation of climate court bolivia","Y",1,0
"1451","bolivia climate conference demands to combat global warming creation of climate court bolivia","Y",0.6301,0
"1452","host gore t believe in global warming he believes in money fro media","N",0.6613,1
"1453","sucks island climate","Y",0.5078,0
"1454","because of a climate change budget is best spent on advertising instead of you know fighting climate","Y",1,0
"1455","avatar director climate change great as jim leave reality to others","N",0.6924,1
"1456","global warming alarmists have been discredited but you t know it from the rhetoric this earth day","N",1,1
"1457","independent women s forum tries to suggest there s still a debate to be had as to the legitimacy of climate change morons","N",0.6735,1
"1458","new of major world cities cite climate change as the most pressing global issue except","Y",0.6634,0
"1459","iceland volcano global warming to blame for iceland s volcano eruption w","Y",0.6416,0
"1460","coal calls mine safety as silly as global warming","N",0.6295,1
"1461","warming wins global warming war","Y",0.668,0
"1462","never has a public policy agenda been pursued with so little regard for scientific fact or for public opinion global warming","N",0.6839,1
"1463","happy earth day guide offers background analysis on climate change","Y",1,0
"1464","s ben we are inviting the planet to humble us via climate change other ills","Y",1,0
"1465","climate change and people s world conference on climate change","Y",0.7147,0
"1466","owned i had to smack down a global warming zealot on earth day","Y",0.6591,0
"1467","climate change and human health studied be april us national institutes of health say","Y",0.6468,0
"1468","slaps cameron for clubbing around with climate change deniers","Y",0.4644,0
"1469","gordon brown to nick your anti will not help us on climate change","Y",0.6843,0
"1470","first world people s conference on climate change and mother earth bolivia","Y",1,0
"1471","senators struggling over climate compromise washing u s senators writing a massive climate change","Y",0.6947,0
"1472","for global warming","Y",0.6522,0
"1473","jason james center for climate change law what are the consequences of single use plastic bag laws","Y",0.7152,0
"1474","film fetes small steps to address climate change","Y",0.6757,0
"1475","world people s conference on climate change and mother earth","Y",1,0
"1476","","Y",1,0
"1477","earth day talks at the science art and climate change artists scientists speaking","Y",1,0
"1478","international water fair global people s conference on climate change and by","Y",1,0
"1479","s gift to earth a climate change","Y",0.6925,0
"1480","maybe t completely worthless s solar dynamics observatory released","Y",1,0
"1481","maybe t completely worthless s solar dynamics observatory released","Y",0.686,0
"1482","gawker maybe t completely worthless news","Y",0.5755,0
"1483","viola mother earth president blames capitalism for global warming via camp","N",0.6669,1
"1484","global warming alarmists have been discredited but you t know it from the rhetoric this earth day","N",0.7991,1
"1485","maybe t completely worthless","Y",0.6127,0
"1486","global warming alarmists have been discredited but you t know it from the rhetoric this earth day","N",1,1
"1487","gotta head to bed eyeballs are burning probably due to global warming or something oh maybe i t have said that on earth day","N",0.4938,1
"1488","set for green jobs boost climate change minister yesterday met with retailers","Y",0.6082,0
"1489","key to fixing global warming china energy secretary steven wants to change the way people think about","Y",1,0
"1490","key to fixing global warming china energy secretary steven wants to change the way people think about","Y",1,0
"1491","great climate central post using baseball and steroids as a way to explain climate change","Y",0.7078,0
"1492","hosts global warming meeting college hosted residents of the greater area on saturday","Y",0.6082,0
"1493","hosts global warming meeting college hosted residents of the greater area on saturday","Y",0.6473,0
"1494","to fixing global warming china","Y",0.8142,0
"1495","editorial today argues for fighting real natural disasters like tsunamis rather than man made ones like global warming","Y",0.4783,0
"1496","wired key to fixing global warming china news","Y",1,0
"1497","s climate science in denial global warming alarmists have been discredited but you","N",0.6823,1
"1498","key to fixing global warming china energy secretary steven wants to change the way people think about","Y",1,0
"1499","festival at home to see climate of change documentary via","Y",1,0
"1500","activist duchess of york speaks out on global warming marriages","Y",0.65,0
"1501","world people s conference on climate change of mother earth","Y",0.6837,0
"1502","from peoples conference on climate change bolivia","Y",0.6995,0
"1503","the water wars and climate change","Y",0.7083,0
"1504","barrett biggest problem with climate change action is","Y",0.6387,0
"1505","in a global warming world should black people own coal mines","Y",1,0
"1506","putting a price on climate change people s world conference on climate change in bolivia kicks","Y",0.6786,0
"1507","launches climate change just in time for earth day a new data crunching tool aims to re","Y",0.6541,0
"1508","my friends kari in bolivia for the world people s conference on climate change","Y",0.6529,0
"1509","will global warming make iceland s volcanoes angry","Y",1,0
"1510","scientists say global warming will cause the world s oceans to rise feet can mean only one thing justin","N",0.4839,1
"1511","making waves at the world people s conference on climate change and mother earth","Y",1,0
"1512","official un process in danger of collapsing unless countries agree to stop global warming by end of ye breaking","Y",0.6498,0
"1513","scientists say global warming will cause the world s oceans to rise feet can mean only one thing justin","Y",0.6173,0
"1514","scientists say global warming will cause the world s oceans to rise feet can mean only one thing justin","Y",0.6476,0
"1515","allergies blame global warming","Y",1,0
"1516","acid in the oceans fraud global warming climate change","N",0.5065,1
"1517","haven t you heard of global warming","Y",1,0
"1518","science nonsense greed global warming climate change","Y",0.3549,0
"1519","votes on climate change accountability passed in tonight conservatives on wrong side of history voting again","N",0.478,1
"1520","global warming as a climate change","N",0.4146,1
"1521","hurrah climate change bill passes report stage vote one step closer to real targets to stop climate change","Y",1,0
"1522","major study global warming graph junk science bolivia","N",1,1
"1523","global warming graph attacked by study ice hockey stick temperature rise slammed as exaggerated","N",1,1
"1524","proof of global warming","Y",1,0
"1525","how we can afford to tackle climate change good read","Y",1,0
"1526","how do we better monitor climate change in africa involve farmers in data climate","Y",1,0
"1527","global warming screwed with my lunch w no tomatoes on a burger what is this","Y",1,0
"1528","mine safety is as silly as global warming","N",0.6813,1
"1529","good news cow flatulence gasses global warming climate change","Y",0.3544,0
"1530","why not clean up air in the most polluted communities while also addressing climate change","Y",1,0
"1531","jim only needs mil to tell the story about how climate change is monkeying with wine grapes more at","Y",0.6529,0
"1532","global warming likely to worsen allergies in maine","Y",1,0
"1533","environmental literature solutions to real environmental problems larger story to climate change b","Y",1,0
"1534","energy leadership conference afternoon we re talking climate change and","Y",0.6894,0
"1535","complete guide to modern day climate change the complete guide to modern day climate change","Y",1,0
"1536","cool earth day event illuminating the science art and climate change next week in organized by","Y",1,0
"1537","john s daily dump another global warming hoax","N",0.6794,1
"1538","another day another proof that while climate change is real was a bunch of hooey","Y",0.5996,0
"1539","your allergies are bad now wait until climate change kicks in michigan group says","Y",1,0
"1540","green fact did you know that skeptics and advocates both agree there has been no global warming since climate change","N",1,1
"1541","i think global warming might truly be a myth i hated people for years and by now i would have thought they d have warmed up to the idea","N",0.6939,1
"1542","clothing industry started global warming in the first place","Y",1,0
"1543","extreme allergies s new report on how climate change is making spring even more","Y",1,0
"1544","world is warming complete guide to modern day climate change","Y",1,0
"1545","am v well hope u r enjoying the weather it breaks and gets cold again so much global warming eh","N",1,1
"1546","complete guide to modern day climate change climate progress via","Y",0.6427,0
"1547","its major solar power scam global warming climate change","N",0.6421,1
"1548","damn global warming","N",0.6514,1
"1549","says quick stop global warming before all the chocolate melts","Y",0.6585,0
"1550","go in cycles species climate change philosophy religion business trade war","Y",0.643,0
"1551","east climate change report clears them of any wrongdoing mention of climate change since the election was called","Y",0.6229,0
"1552","stars join politicians at bolivia s cool global warming summit via","Y",0.7018,0
"1553","help make the great global warming blunder a it s currently ranked on amazon in","N",1,1
"1554","with the help of lindsey graham the democrats are quietly moving their climate change bill through the senate to be worried","N",1,1
"1555","man made global warming hoax part although al gore and his media cronies endlessly bleat that g","N",1,1
"1556","hates global warming","Y",0.6585,0
"1557","bees have been declining due to global warming environmental factors varieties rebounding in our area lately however","Y",1,0
"1558","achoo are allergies driving you mad this spring learn about the connection between allergies and climate change","Y",1,0
"1559","s on clean energy and not being a lone wolf on climate change","Y",1,0
"1560","s not true allergies due to global warming will get worse drive up costs","N",0.669,1
"1561","use technology for emissions trading benchmark climate change ag fertilizer","Y",0.681,0
"1562","complete guide to modern day climate change all the data you need to show that the world","Y",1,0
"1563","it s not true global warming won t kill us cheers","N",0.6743,1
"1564","seculars worship at feet of fickle warming cooling god and proselytize world","N",0.6204,1
"1565","will you and walk out on april for climate change can t wait to see what action consumers take","Y",1,0
"1566","care about poverty or climate change in visit for events and hustings","Y",0.6989,0
"1567","care about poverty or climate change in visit for events and hustings follow","Y",1,0
"1568","global warming","N",1,1
"1569","stop global warming","Y",1,0
"1570","hmm is s temperamental mood changes do with the famous global warming o we nearly run out of f fuels","N",0.6644,1
"1571","weekend huge ice block from the glacier in peru broke off so much for glacial retreat climate change","N",0.6933,1
"1572","tackle climate change concerns in western gather for a two day regional","Y",1,0
"1573","hot blame global warming cold still blame global warming","N",0.7122,1
"1574","global warming as an opportunity environment","Y",0.6682,0
"1575","defends global warming commercial with","Y",1,0
"1576","spreads climate change message in hobart repeating many of his father s warnings abc","Y",1,0
"1577","solutions to real environmental problems larger story to climate change good via","Y",1,0
"1578","open question who will be the most effected by global change and climate change and how will the change in","Y",1,0
"1579","global warming evidence","Y",1,0
"1580","things you can do to reduce global warming","Y",1,0
"1581","spreads climate change message yahoo news the state to research a possible documentary on underwater","Y",0.6776,0
"1582","society updates statement on human driven climate change synching with nat","Y",0.6261,0
"1583","could stop global warming","N",0.6429,1
"1584","ya know you look really hot you must be real reason for global warming","Y",0.6409,0
"1585","gas wants to kill s global warming law join to stop them","Y",0.6384,0
"1586","hey hey i know what get s his goat its either lake levels global warming","N",1,1
"1587","carbon in warming soil could accelerate climate change study","Y",1,0
"1588","keepers logbooks shed light on climate change logbooks should be studied for clues about","Y",0.7107,0
"1589","keepers logbooks shed light on climate change logbooks should be studied for clues about","Y",1,0
"1590","sounds rough has it always been like that or is it part of global warming that s occurring","Y",1,0
"1591","while doing home improvement projects consider the larger home earth help stop global warming check it out","Y",1,0
"1592","i really like that answer stay blaming every weird phenomena on global warming","N",1,1
"1593","puts a mafia style hit on sound science global warming climate change","N",0.4797,1
"1594","someone should try a tax cuts ignore climate change approach to economic growth history says it c","N",0.5242,1
"1595","wednesday make sure all liberal vote to pass climate change bill","Y",1,0
"1596","join meg caldwell tonight for an open talk on coastal communities climate change california colloquium on water","Y",0.7204,0
"1597","society updates statement on human driven climate change synching with nat","Y",1,0
"1598","faster faster the dominos fall global warming climate change","N",0.6591,1
